 X,Y,Z,U,V,P
     0.00000,    -0.50000,     0.00000,     0.00000,     0.00000,    -0.16468
     0.00000,    -0.46154,     0.00000,     0.00000,     0.00000,    -0.16467
     0.00000,    -0.42308,     0.00000,     0.00000,     0.00000,    -0.16465
     0.00000,    -0.38462,     0.00000,     0.00000,     0.00000,    -0.16462
     0.00000,    -0.34615,     0.00000,     0.00000,     0.00000,    -0.16460
     0.00000,    -0.30769,     0.00000,     0.00000,     0.00000,    -0.16460
     0.00000,    -0.26923,     0.00000,     0.00000,     0.00000,    -0.16464
     0.00000,    -0.23077,     0.00000,     0.00000,     0.00000,    -0.16473
     0.00000,    -0.19231,     0.00000,     0.00000,     0.00000,    -0.16491
     0.00000,    -0.15385,     0.00000,     0.00000,     0.00000,    -0.16521
     0.00000,    -0.11538,     0.00000,     0.00000,     0.00000,    -0.16569
     0.00000,    -0.07692,     0.00000,     0.00000,     0.00000,    -0.16650
     0.00000,    -0.03846,     0.00000,     0.00000,     0.00000,    -0.16797
     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,    -0.17099
     0.00000,     0.03846,     0.00000,     0.21302,     0.00000,    -0.17089
     0.00000,     0.07692,     0.00000,     0.60355,     0.00000,    -0.16721
     0.00000,     0.11538,     0.00000,     0.92308,     0.00000,    -0.16403
     0.00000,     0.15385,     0.00000,     1.17160,     0.00000,    -0.16056
     0.00000,     0.19231,     0.00000,     1.34911,     0.00000,    -0.15690
     0.00000,     0.23077,     0.00000,     1.45562,     0.00000,    -0.15320
     0.00000,     0.26923,     0.00000,     1.49112,     0.00000,    -0.14967
     0.00000,     0.30769,     0.00000,     1.45562,     0.00000,    -0.14653
     0.00000,     0.34615,     0.00000,     1.34911,     0.00000,    -0.14396
     0.00000,     0.38462,     0.00000,     1.17160,     0.00000,    -0.14209
     0.00000,     0.42308,     0.00000,     0.92308,     0.00000,    -0.14094
     0.00000,     0.46154,     0.00000,     0.60355,     0.00000,    -0.14043
     0.00000,     0.50000,     0.00000,     0.00000,     0.00000,    -0.14031
     0.03750,    -0.50000,     0.00000,     0.00000,     0.00000,    -0.16468
     0.03750,    -0.46154,     0.00000,    -0.00017,     0.00013,    -0.16468
     0.03750,    -0.42308,     0.00000,    -0.00053,     0.00067,    -0.16466
     0.03750,    -0.38462,     0.00000,    -0.00102,     0.00177,    -0.16463
     0.03750,    -0.34615,     0.00000,    -0.00158,     0.00355,    -0.16462
     0.03750,    -0.30769,     0.00000,    -0.00222,     0.00608,    -0.16463
     0.03750,    -0.26923,     0.00000,    -0.00292,     0.00943,    -0.16467
     0.03750,    -0.23077,     0.00000,    -0.00371,     0.01365,    -0.16477
     0.03750,    -0.19231,     0.00000,    -0.00461,     0.01880,    -0.16495
     0.03750,    -0.15385,     0.00000,    -0.00576,     0.02492,    -0.16524
     0.03750,    -0.11538,     0.00000,    -0.00739,     0.03210,    -0.16571
     0.03750,    -0.07692,     0.00000,    -0.00965,     0.04032,    -0.16642
     0.03750,    -0.03846,     0.00000,    -0.00972,     0.04840,    -0.16754
     0.03750,     0.00000,     0.00000,     0.02569,     0.04792,    -0.16924
     0.03750,     0.03846,     0.00000,     0.24218,    -0.00492,    -0.16893
     0.03750,     0.07692,     0.00000,     0.60211,    -0.00577,    -0.16654
     0.03750,     0.11538,     0.00000,     0.92215,    -0.00478,    -0.16407
     0.03750,     0.15385,     0.00000,     1.17118,    -0.00425,    -0.16100
     0.03750,     0.19231,     0.00000,     1.34885,    -0.00391,    -0.15757
     0.03750,     0.23077,     0.00000,     1.45539,    -0.00360,    -0.15402
     0.03750,     0.26923,     0.00000,     1.49087,    -0.00326,    -0.15060
     0.03750,     0.30769,     0.00000,     1.45533,    -0.00287,    -0.14753
     0.03750,     0.34615,     0.00000,     1.34878,    -0.00240,    -0.14501
     0.03750,     0.38462,     0.00000,     1.17122,    -0.00185,    -0.14317
     0.03750,     0.42308,     0.00000,     0.92266,    -0.00125,    -0.14204
     0.03750,     0.46154,     0.00000,     0.60314,    -0.00060,    -0.14152
     0.03750,     0.50000,     0.00000,     0.00000,     0.00000,    -0.14140
     0.07500,    -0.50000,     0.00000,     0.00000,     0.00000,    -0.16470
     0.07500,    -0.46154,     0.00000,    -0.00066,     0.00037,    -0.16470
     0.07500,    -0.42308,     0.00000,    -0.00160,     0.00131,    -0.16468
     0.07500,    -0.38462,     0.00000,    -0.00280,     0.00298,    -0.16466
     0.07500,    -0.34615,     0.00000,    -0.00420,     0.00550,    -0.16466
     0.07500,    -0.30769,     0.00000,    -0.00574,     0.00895,    -0.16467
     0.07500,    -0.26923,     0.00000,    -0.00739,     0.01336,    -0.16472
     0.07500,    -0.23077,     0.00000,    -0.00913,     0.01872,    -0.16483
     0.07500,    -0.19231,     0.00000,    -0.01098,     0.02495,    -0.16501
     0.07500,    -0.15385,     0.00000,    -0.01297,     0.03188,    -0.16529
     0.07500,    -0.11538,     0.00000,    -0.01501,     0.03909,    -0.16569
     0.07500,    -0.07692,     0.00000,    -0.01589,     0.04548,    -0.16621
     0.07500,    -0.03846,     0.00000,    -0.00741,     0.04764,    -0.16677
     0.07500,     0.00000,     0.00000,     0.05199,     0.03542,    -0.16686
     0.07500,     0.03846,     0.00000,     0.26537,    -0.00234,    -0.16630
     0.07500,     0.07692,     0.00000,     0.60341,    -0.00704,    -0.16546
     0.07500,     0.11538,     0.00000,     0.92160,    -0.00686,    -0.16401
     0.07500,     0.15385,     0.00000,     1.17076,    -0.00653,    -0.16165
     0.07500,     0.19231,     0.00000,     1.34848,    -0.00619,    -0.15870
     0.07500,     0.23077,     0.00000,     1.45499,    -0.00579,    -0.15548
     0.07500,     0.26923,     0.00000,     1.49040,    -0.00529,    -0.15230
     0.07500,     0.30769,     0.00000,     1.45478,    -0.00466,    -0.14941
     0.07500,     0.34615,     0.00000,     1.34813,    -0.00391,    -0.14701
     0.07500,     0.38462,     0.00000,     1.17048,    -0.00304,    -0.14524
     0.07500,     0.42308,     0.00000,     0.92185,    -0.00206,    -0.14414
     0.07500,     0.46154,     0.00000,     0.60233,    -0.00100,    -0.14364
     0.07500,     0.50000,     0.00000,     0.00000,     0.00000,    -0.14351
     0.11250,    -0.50000,     0.00000,     0.00000,     0.00000,    -0.16473
     0.11250,    -0.46154,     0.00000,    -0.00144,     0.00058,    -0.16472
     0.11250,    -0.42308,     0.00000,    -0.00308,     0.00183,    -0.16470
     0.11250,    -0.38462,     0.00000,    -0.00510,     0.00390,    -0.16469
     0.11250,    -0.34615,     0.00000,    -0.00740,     0.00687,    -0.16468
     0.11250,    -0.30769,     0.00000,    -0.00988,     0.01077,    -0.16470
     0.11250,    -0.26923,     0.00000,    -0.01245,     0.01560,    -0.16476
     0.11250,    -0.23077,     0.00000,    -0.01501,     0.02123,    -0.16486
     0.11250,    -0.19231,     0.00000,    -0.01744,     0.02746,    -0.16504
     0.11250,    -0.15385,     0.00000,    -0.01955,     0.03389,    -0.16529
     0.11250,    -0.11538,     0.00000,    -0.02065,     0.03976,    -0.16562
     0.11250,    -0.07692,     0.00000,    -0.01799,     0.04346,    -0.16599
     0.11250,    -0.03846,     0.00000,     0.00009,     0.04140,    -0.16625
     0.11250,     0.00000,     0.00000,     0.07443,     0.02661,    -0.16599
     0.11250,     0.03846,     0.00000,     0.28357,    -0.00099,    -0.16542
     0.11250,     0.07692,     0.00000,     0.60651,    -0.00770,    -0.16488
     0.11250,     0.11538,     0.00000,     0.92166,    -0.00840,    -0.16385
     0.11250,     0.15385,     0.00000,     1.17053,    -0.00841,    -0.16199
     0.11250,     0.19231,     0.00000,     1.34813,    -0.00818,    -0.15948
     0.11250,     0.23077,     0.00000,     1.45450,    -0.00776,    -0.15662
     0.11250,     0.26923,     0.00000,     1.48977,    -0.00714,    -0.15372
     0.11250,     0.30769,     0.00000,     1.45399,    -0.00633,    -0.15104
     0.11250,     0.34615,     0.00000,     1.34719,    -0.00534,    -0.14880
     0.11250,     0.38462,     0.00000,     1.16940,    -0.00416,    -0.14714
     0.11250,     0.42308,     0.00000,     0.92067,    -0.00282,    -0.14610
     0.11250,     0.46154,     0.00000,     0.60114,    -0.00137,    -0.14562
     0.11250,     0.50000,     0.00000,     0.00000,     0.00000,    -0.14550
     0.15000,    -0.50000,     0.00000,     0.00000,     0.00000,    -0.16476
     0.15000,    -0.46154,     0.00000,    -0.00244,     0.00071,    -0.16475
     0.15000,    -0.42308,     0.00000,    -0.00484,     0.00219,    -0.16473
     0.15000,    -0.38462,     0.00000,    -0.00771,     0.00450,    -0.16471
     0.15000,    -0.34615,     0.00000,    -0.01090,     0.00770,    -0.16471
     0.15000,    -0.30769,     0.00000,    -0.01425,     0.01179,    -0.16473
     0.15000,    -0.26923,     0.00000,    -0.01758,     0.01667,    -0.16479
     0.15000,    -0.23077,     0.00000,    -0.02070,     0.02216,    -0.16489
     0.15000,    -0.19231,     0.00000,    -0.02333,     0.02795,    -0.16506
     0.15000,    -0.15385,     0.00000,    -0.02496,     0.03351,    -0.16528
     0.15000,    -0.11538,     0.00000,    -0.02434,     0.03793,    -0.16556
     0.15000,    -0.07692,     0.00000,    -0.01749,     0.03960,    -0.16582
     0.15000,    -0.03846,     0.00000,     0.00902,     0.03546,    -0.16593
     0.15000,     0.00000,     0.00000,     0.09331,     0.02121,    -0.16563
     0.15000,     0.03846,     0.00000,     0.29882,    -0.00055,    -0.16513
     0.15000,     0.07692,     0.00000,     0.61064,    -0.00825,    -0.16465
     0.15000,     0.11538,     0.00000,     0.92228,    -0.00964,    -0.16379
