 X,Y,Z,U,V,P
     0.00000,    -0.50000,     0.00000,     0.00000,     0.00000,    -0.16300
     0.00000,    -0.47500,     0.00000,     0.00000,     0.00000,    -0.16300
     0.00000,    -0.45000,     0.00000,     0.00000,     0.00000,    -0.16299
     0.00000,    -0.42500,     0.00000,     0.00000,     0.00000,    -0.16297
     0.00000,    -0.40000,     0.00000,     0.00000,     0.00000,    -0.16295
     0.00000,    -0.37500,     0.00000,     0.00000,     0.00000,    -0.16293
     0.00000,    -0.35000,     0.00000,     0.00000,     0.00000,    -0.16292
     0.00000,    -0.32500,     0.00000,     0.00000,     0.00000,    -0.16291
     0.00000,    -0.30000,     0.00000,     0.00000,     0.00000,    -0.16292
     0.00000,    -0.27500,     0.00000,     0.00000,     0.00000,    -0.16294
     0.00000,    -0.25000,     0.00000,     0.00000,     0.00000,    -0.16299
     0.00000,    -0.22500,     0.00000,     0.00000,     0.00000,    -0.16306
     0.00000,    -0.20000,     0.00000,     0.00000,     0.00000,    -0.16317
     0.00000,    -0.17500,     0.00000,     0.00000,     0.00000,    -0.16333
     0.00000,    -0.15000,     0.00000,     0.00000,     0.00000,    -0.16355
     0.00000,    -0.12500,     0.00000,     0.00000,     0.00000,    -0.16386
     0.00000,    -0.10000,     0.00000,     0.00000,     0.00000,    -0.16428
     0.00000,    -0.07500,     0.00000,     0.00000,     0.00000,    -0.16492
     0.00000,    -0.05000,     0.00000,     0.00000,     0.00000,    -0.16593
     0.00000,    -0.02500,     0.00000,     0.00000,     0.00000,    -0.16770
     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,    -0.17117
     0.00000,     0.02500,     0.00000,     0.14250,     0.00000,    -0.17139
     0.00000,     0.05000,     0.00000,     0.41250,     0.00000,    -0.16804
     0.00000,     0.07500,     0.00000,     0.65250,     0.00000,    -0.16561
     0.00000,     0.10000,     0.00000,     0.86250,     0.00000,    -0.16323
     0.00000,     0.12500,     0.00000,     1.04250,     0.00000,    -0.16085
     0.00000,     0.15000,     0.00000,     1.19250,     0.00000,    -0.15842
     0.00000,     0.17500,     0.00000,     1.31250,     0.00000,    -0.15593
     0.00000,     0.20000,     0.00000,     1.40250,     0.00000,    -0.15341
     0.00000,     0.22500,     0.00000,     1.46250,     0.00000,    -0.15091
     0.00000,     0.25000,     0.00000,     1.49250,     0.00000,    -0.14849
     0.00000,     0.27500,     0.00000,     1.49250,     0.00000,    -0.14621
     0.00000,     0.30000,     0.00000,     1.46250,     0.00000,    -0.14412
     0.00000,     0.32500,     0.00000,     1.40250,     0.00000,    -0.14227
     0.00000,     0.35000,     0.00000,     1.31250,     0.00000,    -0.14071
     0.00000,     0.37500,     0.00000,     1.19250,     0.00000,    -0.13947
     0.00000,     0.40000,     0.00000,     1.04250,     0.00000,    -0.13854
     0.00000,     0.42500,     0.00000,     0.86250,     0.00000,    -0.13792
     0.00000,     0.45000,     0.00000,     0.65250,     0.00000,    -0.13757
     0.00000,     0.47500,     0.00000,     0.41250,     0.00000,    -0.13743
     0.00000,     0.50000,     0.00000,     0.00000,     0.00000,    -0.13740
     0.02500,    -0.50000,     0.00000,     0.00000,     0.00000,    -0.16300
     0.02500,    -0.47500,     0.00000,    -0.00000,    -0.00000,    -0.16300
     0.02500,    -0.45000,     0.00000,    -0.00009,     0.00010,    -0.16299
     0.02500,    -0.42500,     0.00000,    -0.00022,     0.00035,    -0.16298
     0.02500,    -0.40000,     0.00000,    -0.00037,     0.00078,    -0.16296
     0.02500,    -0.37500,     0.00000,    -0.00054,     0.00143,    -0.16294
     0.02500,    -0.35000,     0.00000,    -0.00073,     0.00232,    -0.16293
     0.02500,    -0.32500,     0.00000,    -0.00093,     0.00346,    -0.16293
     0.02500,    -0.30000,     0.00000,    -0.00114,     0.00486,    -0.16294
     0.02500,    -0.27500,     0.00000,    -0.00136,     0.00654,    -0.16297
     0.02500,    -0.25000,     0.00000,    -0.00161,     0.00852,    -0.16302
     0.02500,    -0.22500,     0.00000,    -0.00187,     0.01081,    -0.16309
     0.02500,    -0.20000,     0.00000,    -0.00217,     0.01344,    -0.16321
     0.02500,    -0.17500,     0.00000,    -0.00253,     0.01644,    -0.16337
