 X,Y,Z,U,V,Vr,P,T,rho,Mach
     0.50000,    -0.50000,     0.00000,   694.37741,     0.00000,   694.37741,129150.00000,   300.00000,     1.50000,     2.00000
     0.45000,    -0.50000,     0.00000,   694.37741,     0.00000,   694.37741,129150.00000,   300.00000,     1.50000,     2.00000
     0.40000,    -0.50000,     0.00000,   694.37741,     0.00000,   694.37741,129150.00000,   300.00000,     1.50000,     2.00000
     0.35000,    -0.50000,     0.00000,   694.37741,     0.00000,   694.37741,129150.00000,   300.00000,     1.50000,     2.00000
     0.30000,    -0.50000,     0.00000,   694.37741,     0.00000,   694.37741,129150.00000,   300.00000,     1.50000,     2.00000
     0.25000,    -0.50000,     0.00000,   694.37741,     0.00000,   694.37741,129150.00000,   300.00000,     1.50000,     2.00000
     0.20000,    -0.50000,     0.00000,   694.37741,     0.00000,   694.37741,129150.00000,   300.00000,     1.50000,     2.00000
     0.15000,    -0.50000,     0.00000,   694.37741,     0.00000,   694.37741,129150.00000,   300.00000,     1.50000,     2.00000
     0.10000,    -0.50000,     0.00000,   694.37741,     0.00000,   694.37741,129150.00000,   300.00000,     1.50000,     2.00000
     0.05000,    -0.50000,     0.00000,   694.37741,     0.00000,   694.37741,129150.00000,   300.00000,     1.50000,     2.00000
    -0.00000,    -0.50000,     0.00000,   694.37741,     0.00000,   694.37741,129150.00000,   300.00000,     1.50000,     2.00000
    -0.05226,    -0.49726,     0.00000,   694.37741,     0.00000,   694.37741,129150.00000,   300.00000,     1.50000,     2.00000
    -0.10396,    -0.48907,     0.00000,   694.37741,     0.00000,   694.37741,129150.00000,   300.00000,     1.50000,     2.00000
    -0.15451,    -0.47553,     0.00000,   694.37741,     0.00000,   694.37741,129150.00000,   300.00000,     1.50000,     2.00000
    -0.20337,    -0.45677,     0.00000,   694.37741,     0.00000,   694.37741,129150.00000,   300.00000,     1.50000,     2.00000
    -0.25000,    -0.43301,     0.00000,   694.37741,     0.00000,   694.37741,129150.00000,   300.00000,     1.50000,     2.00000
    -0.29389,    -0.40451,     0.00000,   694.37741,     0.00000,   694.37741,129150.00000,   300.00000,     1.50000,     2.00000
    -0.33457,    -0.37157,     0.00000,   694.37741,     0.00000,   694.37741,129150.00000,   300.00000,     1.50000,     2.00000
    -0.37157,    -0.33457,     0.00000,   694.37741,     0.00000,   694.37741,129150.00000,   300.00000,     1.50000,     2.00000
    -0.40451,    -0.29389,     0.00000,   694.37741,     0.00000,   694.37741,129150.00000,   300.00000,     1.50000,     2.00000
    -0.43301,    -0.25000,     0.00000,   694.37741,     0.00000,   694.37741,129150.00000,   300.00000,     1.50000,     2.00000
    -0.45677,    -0.20337,     0.00000,   694.37741,     0.00000,   694.37741,129150.00000,   300.00000,     1.50000,     2.00000
    -0.47553,    -0.15451,     0.00000,   694.37741,     0.00000,   694.37741,129150.00000,   300.00000,     1.50000,     2.00000
