X,Y,Z,U,V,P
0.000000,0.000000,0.000000,0.000000,0.000000,0.040988
0.000000,0.000250,0.000000,0.000000,0.000000,0.041012
0.000000,0.000500,0.000000,0.000000,0.000000,0.041135
0.000000,0.000750,0.000000,0.000000,0.000000,0.041403
0.000000,0.001000,0.000000,0.000000,0.000000,0.041799
0.000000,0.001250,0.000000,0.000000,0.000000,0.042285
0.000000,0.001500,0.000000,0.000000,0.000000,0.042793
0.000000,0.001750,0.000000,0.000000,0.000000,0.043224
0.000000,0.002000,0.000000,0.000000,0.000000,0.043456
0.000000,0.002250,0.000000,0.000000,0.000000,0.043354
0.000000,0.002500,0.000000,0.000000,0.000000,0.042797
0.000000,0.002750,0.000000,0.000000,0.000000,0.041701
0.000000,0.003000,0.000000,0.000000,0.000000,0.040033
0.000000,0.003250,0.000000,0.000000,0.000000,0.037819
0.000000,0.003500,0.000000,0.000000,0.000000,0.035136
0.000000,0.003750,0.000000,0.000000,0.000000,0.032099
0.000000,0.004000,0.000000,0.000000,0.000000,0.028848
0.000000,0.004250,0.000000,0.000000,0.000000,0.025531
0.000000,0.004500,0.000000,0.000000,0.000000,0.022288
0.000000,0.004750,0.000000,0.000000,0.000000,0.019241
0.000000,0.005000,0.000000,0.000000,0.000000,0.016491
0.000000,0.005250,0.000000,0.000000,0.000000,0.014108
0.000000,0.005500,0.000000,0.000000,0.000000,0.012135
0.000000,0.005750,0.000000,0.000000,0.000000,0.010589
0.000000,0.006000,0.000000,0.000000,0.000000,0.009463
0.000000,0.006250,0.000000,0.000000,0.000000,0.008728
0.000000,0.006500,0.000000,0.000000,0.000000,0.008345
0.000000,0.006750,0.000000,0.000000,0.000000,0.008262
0.000000,0.007000,0.000000,0.000000,0.000000,0.008421
0.000000,0.007250,0.000000,0.000000,0.000000,0.008765
0.000000,0.007500,0.000000,0.000000,0.000000,0.009237
0.000000,0.007750,0.000000,0.000000,0.000000,0.009783
0.000000,0.008000,0.000000,0.000000,0.000000,0.010354
0.000000,0.008250,0.000000,0.000000,0.000000,0.010896
0.000000,0.008500,0.000000,0.000000,0.000000,0.011333
0.000000,0.008750,0.000000,0.000000,0.000000,0.011504
0.000000,0.009000,0.000000,0.000000,0.000000,0.010984
0.000000,0.009250,0.000000,0.000000,0.000000,0.008559
0.000000,0.009500,0.000000,0.000000,0.000000,0.000943
0.000000,0.009750,0.000000,0.000000,0.000000,-0.018357
0.000000,0.010000,0.000000,1.460408,0.000000,-0.031958
0.000250,0.000000,0.000000,0.000000,0.000000,0.040962
0.000250,0.000250,0.000000,0.001248,-0.001251,0.040985
0.000250,0.000500,0.000000,0.001101,-0.002598,0.041100
0.000250,0.000750,0.000000,0.000308,-0.003170,0.041350
0.000250,0.001000,0.000000,-0.000990,-0.002285,0.041717
0.000250,0.001250,0.000000,-0.002684,0.000588,0.042168
0.000250,0.001500,0.000000,-0.004641,0.005825,0.042637
0.000250,0.001750,0.000000,-0.006682,0.013586,0.043029
0.000250,0.002000,0.000000,-0.008594,0.023778,0.043222
0.000250,0.002250,0.000000,-0.010165,0.036048,0.043084
0.000250,0.002500,0.000000,-0.011235,0.049839,0.042496
0.000250,0.002750,0.000000,-0.011717,0.064479,0.041374
0.000250,0.003000,0.000000,-0.011601,0.079274,0.039688
0.000250,0.003250,0.000000,-0.010938,0.093572,0.037463
0.000250,0.003500,0.000000,-0.009815,0.106817,0.034777
0.000250,0.003750,0.000000,-0.008338,0.118558,0.031744
0.000250,0.004000,0.000000,-0.006614,0.128459,0.028506
0.000250,0.004250,0.000000,-0.004744,0.136289,0.025207
0.000250,0.004500,0.000000,-0.002818,0.141914,0.021989
0.000250,0.004750,0.000000,-0.000915,0.145286,0.018973
0.000250,0.005000,0.000000,0.000899,0.146428,0.016257
0.000250,0.005250,0.000000,0.002567,0.145430,0.013914
0.000250,0.005500,0.000000,0.004043,0.142438,0.011983
0.000250,0.005750,0.000000,0.005288,0.137646,0.010482
0.000250,0.006000,0.000000,0.006276,0.131293,0.009401
0.000250,0.006250,0.000000,0.006987,0.123653,0.008712
0.000250,0.006500,0.000000,0.007410,0.115033,0.008373
0.000250,0.006750,0.000000,0.007543,0.105766,0.008330
0.000250,0.007000,0.000000,0.007390,0.096204,0.008525
0.000250,0.007250,0.000000,0.006958,0.086715,0.008897
0.000250,0.007500,0.000000,0.006242,0.077685,0.009390
0.000250,0.007750,0.000000,0.005215,0.069526,0.009949
0.000250,0.008000,0.000000,0.003786,0.062707,0.010524
0.000250,0.008250,0.000000,0.001737,0.057825,0.011063
0.000250,0.008500,0.000000,-0.001405,0.055746,0.011496
0.000250,0.008750,0.000000,-0.006566,0.057833,0.011686
0.000250,0.009000,0.000000,-0.015350,0.066280,0.011285
0.000250,0.009250,0.000000,-0.029455,0.084138,0.009359
0.000250,0.009500,0.000000,-0.042550,0.112686,0.003787
0.000250,0.009750,0.000000,0.054354,0.132571,-0.006884
0.000250,0.010000,0.000000,1.460408,0.000000,-0.013497
0.000500,0.000000,0.000000,0.000000,0.000000,0.040838
0.000500,0.000250,0.000000,0.002598,-0.001171,0.040862
0.000500,0.000500,0.000000,0.001918,-0.002102,0.040969
0.000500,0.000750,0.000000,-0.000313,-0.001734,0.041191
0.000500,0.001000,0.000000,-0.003758,0.000768,0.041514
0.000500,0.001250,0.000000,-0.008110,0.006030,0.041908
0.000500,0.001500,0.000000,-0.012998,0.014421,0.042312
0.000500,0.001750,0.000000,-0.017953,0.025991,0.042631
0.000500,0.002000,0.000000,-0.022462,0.040453,0.042743
0.000500,0.002250,0.000000,-0.026061,0.057232,0.042519
0.000500,0.002500,0.000000,-0.028432,0.075578,0.041842
0.000500,0.002750,0.000000,-0.029435,0.094684,0.040633
0.000500,0.003000,0.000000,-0.029093,0.113783,0.038868
0.000500,0.003250,0.000000,-0.027544,0.132195,0.036576
0.000500,0.003500,0.000000,-0.024986,0.149352,0.033839
0.000500,0.003750,0.000000,-0.021642,0.164800,0.030773
0.000500,0.004000,0.000000,-0.017731,0.178190,0.027521
0.000500,0.004250,0.000000,-0.013455,0.189271,0.024226
0.000500,0.004500,0.000000,-0.008997,0.197872,0.021029
0.000500,0.004750,0.000000,-0.004514,0.203897,0.018052
0.000500,0.005000,0.000000,-0.000144,0.207315,0.015391
0.000500,0.005250,0.000000,0.003990,0.208155,0.013117
0.000500,0.005500,0.000000,0.007784,0.206498,0.011270
0.000500,0.005750,0.000000,0.011145,0.202477,0.009865
0.000500,0.006000,0.000000,0.013993,0.196276,0.008892
0.000500,0.006250,0.000000,0.016259,0.188131,0.008320
0.000500,0.006500,0.000000,0.017887,0.178327,0.008103
0.000500,0.006750,0.000000,0.018829,0.167201,0.008184
