"U","V","P","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0.016491,1,0,0,0.005,0
0.000899,0.14643,0.016257,1,0.00025,0.00025,0.005,0
-0.000144,0.20732,0.015391,1,0.0005,0.0005,0.005,0
-0.003359,0.2461,0.013654,1,0.00075,0.00075,0.005,0
-0.007872,0.27101,0.010957,1,0.001,0.001,0.005,0
-0.01279,0.28717,0.007296,1,0.00125,0.00125,0.005,0
-0.01757,0.29688,0.002722,1,0.0015,0.0015,0.005,0
-0.021964,0.30094,-0.002664,1,0.00175,0.00175,0.005,0
-0.025872,0.29969,-0.008723,1,0.002,0.002,0.005,0
-0.02926,0.29341,-0.015277,1,0.00225,0.00225,0.005,0
-0.032126,0.28249,-0.022123,1,0.0025,0.0025,0.005,0
-0.034489,0.26738,-0.029047,1,0.00275,0.00275,0.005,0
-0.036397,0.2487,-0.035841,1,0.003,0.003,0.005,0
-0.037921,0.22711,-0.04231,1,0.00325,0.00325,0.005,0
-0.039152,0.20335,-0.048292,1,0.0035,0.0035,0.005,0
-0.040199,0.17821,-0.053663,1,0.00375,0.00375,0.005,0
-0.041172,0.15238,-0.058344,1,0.004,0.004,0.005,0
-0.042171,0.12645,-0.062295,1,0.00425,0.00425,0.005,0
-0.043272,0.1008,-0.065508,1,0.0045,0.0045,0.005,0
-0.044516,0.075603,-0.067998,1,0.00475,0.00475,0.005,0
-0.045917,0.050845,-0.069789,1,0.005,0.005,0.005,0
-0.047463,0.026406,-0.070907,1,0.00525,0.00525,0.005,0
-0.049133,0.002129,-0.071378,1,0.0055,0.0055,0.005,0
-0.0509,-0.022122,-0.071225,1,0.00575,0.00575,0.005,0
-0.052748,-0.04643,-0.070473,1,0.006,0.006,0.005,0
-0.054674,-0.070828,-0.069151,1,0.00625,0.00625,0.005,0
-0.056706,-0.095333,-0.067293,1,0.0065,0.0065,0.005,0
-0.058918,-0.12,-0.064942,1,0.00675,0.00675,0.005,0
-0.061471,-0.14504,-0.062141,1,0.007,0.007,0.005,0
-0.064645,-0.17095,-0.058926,1,0.00725,0.00725,0.005,0
-0.068878,-0.19882,-0.055313,1,0.0075,0.0075,0.005,0
-0.07471,-0.23041,-0.051269,1,0.00775,0.00775,0.005,0
-0.082557,-0.26819,-0.046692,1,0.008,0.008,0.005,0
-0.092202,-0.31444,-0.041404,1,0.00825,0.00825,0.005,0
-0.10214,-0.36945,-0.035203,1,0.0085,0.0085,0.005,0
-0.10923,-0.42882,-0.028024,1,0.00875,0.00875,0.005,0
-0.10903,-0.48049,-0.020205,1,0.009,0.009,0.005,0
-0.096951,-0.50173,-0.01273,1,0.00925,0.00925,0.005,0
-0.070257,-0.45779,-0.007121,1,0.0095,0.0095,0.005,0
-0.032098,-0.3159,-0.004659,1,0.00975,0.00975,0.005,0
-2.8698e-008,-2.8244e-007,-0.004324,1,0.01,0.01,0.005,0
