X,Y,Z,U,V,P
0,0,0,0,0,0.021727
0,0.0005,0,0,0,0.021894
0,0.001,0,0,0,0.022354
0,0.0015,0,0,0,0.02285
0,0.002,0,0,0,0.02287
0,0.0025,0,0,0,0.021924
0,0.003,0,0,0,0.019842
0,0.0035,0,0,0,0.016847
0,0.004,0,0,0,0.013404
0,0.0045,0,0,0,0.010026
0,0.005,0,0,0,0.007113
0,0.0055,0,0,0,0.004899
0,0.006,0,0,0,0.003445
0,0.0065,0,0,0,0.002678
0,0.007,0,0,0,0.002437
0,0.0075,0,0,0,0.002518
0,0.008,0,0,0,0.002693
0,0.0085,0,0,0,0.002614
0,0.009,0,0,0,0.001164
0,0.0095,0,0,0,-0.005547
0,0.01,0,1.460408,0,-0.010968
0.0005,0,0,0,0,0.021558
0.0005,0.0005,0,-0.000285,-0.000627,0.02172
0.0005,0.001,0,-0.006697,0.004904,0.022143
0.0005,0.0015,0,-0.014706,0.019954,0.022557
0.0005,0.002,0,-0.020515,0.042584,0.022471
0.0005,0.0025,0,-0.022243,0.068259,0.021427
0.0005,0.003,0,-0.020364,0.092984,0.019277
0.0005,0.0035,0,-0.01619,0.114113,0.016245
0.0005,0.004,0,-0.010891,0.130167,0.012799
0.0005,0.0045,0,-0.005305,0.140507,0.009443
0.0005,0.005,0,-0.000004,0.145086,0.006575
0.0005,0.0055,0,0.004614,0.144281,0.004428
0.0005,0.006,0,0.008241,0.138784,0.003064
0.0005,0.0065,0,0.010597,0.129558,0.002413
0.0005,0.007,0,0.011349,0.117848,0.002319
0.0005,0.0075,0,0.009981,0.105243,0.002589
0.0005,0.008,0,0.005404,0.093864,0.003032
0.0005,0.0085,0,-0.005126,0.086745,0.003424
0.0005,0.009,0,-0.025435,0.088387,0.003133
0.0005,0.0095,0,0.038664,0.099171,0.000646
0.0005,0.01,0,1.460408,0,-0.001397
0.001,0,0,0,0,0.021084
0.001,0.0005,0,-0.004907,0.00277,0.02125
0.001,0.001,0,-0.020584,0.014983,0.021609
0.001,0.0015,0,-0.037683,0.037687,0.021809
0.001,0.002,0,-0.048307,0.065963,0.021402
0.001,0.0025,0,-0.0504,0.095142,0.02002
0.001,0.003,0,-0.045854,0.12227,0.017595
0.001,0.0035,0,-0.037182,0.145546,0.014391
0.001,0.004,0,-0.026392,0.163906,0.010872
0.001,0.0045,0,-0.014918,0.176813,0.007531
0.001,0.005,0,-0.003772,0.184117,0.004753
0.001,0.0055,0,0.006305,0.185968,0.002769
0.001,0.006,0,0.014725,0.182762,0.001645
0.001,0.0065,0,0.020938,0.175099,0.00132
0.001,0.007,0,0.024318,0.163784,0.001659
0.001,0.0075,0,0.023986,0.149826,0.002504
0.001,0.008,0,0.0185,0.134398,0.003735
0.001,0.0085,0,0.005478,0.118539,0.005311
0.001,0.009,0,-0.012424,0.101832,0.007158
0.001,0.0095,0,0.088388,0.074217,0.010003
0.001,0.01,0,1.460408,0,0.011876
0.0015,0,0,0,0,0.020363
0.0015,0.0005,0,-0.01527,0.007041,0.020547
0.0015,0.001,0,-0.041617,0.026604,0.020809
0.0015,0.0015,0,-0.065687,0.054691,0.020649
0.0015,0.002,0,-0.077971,0.084791,0.019683
0.0015,0.0025,0,-0.07855,0.113557,0.017697
0.0015,0.003,0,-0.070767,0.139369,0.014761
0.0015,0.0035,0,-0.057824,0.161274,0.011212
0.0015,0.004,0,-0.042156,0.178688,0.007519
0.0015,0.0045,0,-0.025513,0.191296,0.004152
0.0015,0.005,0,-0.009157,0.19899,0.001477
0.0015,0.0055,0,0.005971,0.201823,-0.000289
0.0015,0.006,0,0.019113,0.199975,-0.001077
0.0015,0.0065,0,0.029578,0.193722,-0.000932
0.0015,0.007,0,0.036625,0.183407,0.000036
0.0015,0.0075,0,0.039369,0.169374,0.001704
0.0015,0.008,0,0.036693,0.151804,0.003992
0.0015,0.0085,0,0.027442,0.130279,0.00688
0.0015,0.009,0,0.01889,0.102813,0.010294
0.0015,0.0095,0,0.140498,0.061757,0.01452
0.0015,0.01,0,1.460408,0,0.016927
0.002,0,0,0,0,0.019425
0.002,0.0005,0,-0.031514,0.01177,0.019596
0.002,0.001,0,-0.068236,0.037453,0.019649
0.002,0.0015,0,-0.09587,0.067984,0.018938
0.002,0.002,0,-0.107172,0.09768,0.0172
0.002,0.0025,0,-0.104976,0.124634,0.014412
0.002,0.003,0,-0.093568,0.148087,0.01081
0.002,0.0035,0,-0.076498,0.167618,0.006805
0.002,0.004,0,-0.056411,0.182982,0.002879
0.002,0.0045,0,-0.035216,0.194068,-0.000528
0.002,0.005,0,-0.014295,0.200852,-0.003082
0.002,0.0055,0,0.005324,0.203362,-0.00459
0.002,0.006,0,0.022829,0.201663,-0.004992
0.002,0.0065,0,0.037509,0.195828,-0.004328
0.002,0.007,0,0.048669,0.185893,-0.002697
0.002,0.0075,0,0.055591,0.171783,-0.000215
0.002,0.008,0,0.057598,0.153164,0.003012
0.002,0.0085,0,0.054472,0.129191,0.006868
0.002,0.009,0,0.056101,0.09807,0.011117
0.002,0.0095,0,0.191203,0.05476,0.015591
0.002,0.01,0,1.460408,0,0.017884
0.0025,0,0,0,0,0.01828
0.0025,0.0005,0,-0.052724,0.016645,0.018372
0.0025,0.001,0,-0.097831,0.045755,0.018065
0.0025,0.0015,0,-0.125914,0.076194,0.016644
0.0025,0.002,0,-0.134619,0.104055,0.014
0.0025,0.0025,0,-0.128955,0.128418,0.010315
0.0025,0.003,0,-0.113747,0.149037,0.005975
0.0025,0.0035,0,-0.092715,0.165818,0.001468
0.0025,0.004,0,-0.068602,0.178762,-0.002718
0.0025,0.0045,0,-0.043379,0.187927,-0.006168
0.0025,0.005,0,-0.018446,0.193368,-0.008592
0.0025,0.0055,0,0.005163,0.195099,-0.00983
0.0025,0.006,0,0.026651,0.193098,-0.009849
0.0025,0.0065,0,0.045351,0.187307,-0.0087
0.0025,0.007,0,0.060673,0.1776,-0.006494
0.0025,0.0075,0,0.072101,0.163718,-0.003374
0.0025,0.008,0,0.079288,0.145184,0.000492
0.0025,0.0085,0,0.08254,0.121217,0.004869
0.0025,0.009,0,0.093325,0.090551,0.009383
0.0025,0.0095,0,0.238571,0.049466,0.013691
0.0025,0.01,0,1.460408,0,0.015767
0.003,0,0,0,0,0.016963
0.003,0.0005,0,-0.07727,0.02075,0.016903
0.003,0.001,0,-0.127785,0.050473,0.016103
0.003,0.0015,0,-0.154168,0.078997,0.013873
0.003,0.002,0,-0.159394,0.103975,0.010276
0.003,0.0025,0,-0.149955,0.125144,0.005681
